posicao,nota_capacidade,razao_social,nome_fantasia,cnpj_formatado,cnae,cnae_descricao,endereco,bairro,municipio,telefone,telefone_2,email,data_inicio_atividade,idade_meses,porte,porte_desc,opcao_simples,capital_social,n_unidades_br,n_unidades_df,n_ufs,natureza_juridica_desc,tipo_negocio,franquia,endereco_suspeito,n_cnpjs_mesma_sala,n_cnpjs_mesmo_predio,origem_recorte,validado_receita,validacao_data,validacao_situacao,nota_capacidade_conta
1093,44,NEO - NUCLEO DE ESTETICA ORAL LTDA,NEO - NUCLEO DE ESTETICA ORAL,09.501.134/0001-60,8630504,Atividade odontológica,"QUADRA SEPN QD 513 CONJUNTO A SALA 306 E, 308, EDIF  BITTAR I, ASA NORTE, CEP 70768900, Brasilia/DF",ASA NORTE,Brasilia/DF,(61) 93410202,,neocirurgiaeestetica@gmail.com,2008-04-16,220,1,ME - Microempresa (ate R$360 mil/ano),Sem registro,73000.00,1,1,1,Sociedade Empresaria Limitada,clinica,nao,nao,1,1,cnae_principal,,,,porte 5 + capital_social 12 + n_unidades 4 + regime_tributario 9 + maturidade 14 = 44 | NOTA 44/100
1094,44,WEIDER DE OLIVEIRA SILVA LTDA,ODONTO ESTETIC,09.351.049/0001-63,8630504,Atividade odontológica,"SETOR ST DE EDIF DE UTIL PUBLICAS SUL ENTREQ 710/910 CONJ D, S/N, SALA  213, ASA SUL, CEP 70390108, Brasilia/DF",ASA SUL,Brasilia/DF,(61) 33694883,,,2008-02-11,222,1,ME - Microempresa (ate R$360 mil/ano),Sem registro,73000.00,1,1,1,Sociedade Empresaria Limitada,clinica,nao,nao,1,113,cnae_principal,,,,porte 5 + capital_social 12 + n_unidades 4 + regime_tributario 9 + maturidade 14 = 44 | NOTA 44/100
1095,44,MAESTRIA  ODONTOLOGIA  LTDA,MAESTRIA ODONTOLOGIA,06.905.895/0001-90,8630504,Atividade odontológica,"QUADRA SHIS QI 11 BLOCO L, SN, LOJA  9 E 10, LAGO SUL, CEP 71625125, Brasilia/DF",LAGO SUL,Brasilia/DF,(61) 33645050,,,2004-08-03,264,1,ME - Microempresa (ate R$360 mil/ano),Sem registro,72400.00,1,1,1,Sociedade Empresaria Limitada,clinica,nao,nao,1,3,cnae_principal,,,,porte 5 + capital_social 12 + n_unidades 4 + regime_tributario 9 + maturidade 14 = 44 | NOTA 44/100
1096,44,A.C. LIPPELT ODONTOLOGIA LTDA,ODONTOCLINICA GAMA,11.463.292/0001-15,8630504,Atividade odontológica,"SETOR HOTELEIRO, PROJECAO B, SN, SUBSL DEPOSITO 01, SETOR CENTRAL GAMA, CEP 72405600, Brasilia/DF",SETOR CENTRAL GAMA,Brasilia/DF,(61) 81402777,(61) 36220405,,2010-01-12,199,1,ME - Microempresa (ate R$360 mil/ano),Sem registro,62200.00,1,1,1,Sociedade Empresaria Limitada,clinica,nao,nao,1,13,cnae_principal,,,,porte 5 + capital_social 12 + n_unidades 4 + regime_tributario 9 + maturidade 14 = 44 | NOTA 44/100
1097,44,RIDERE ODONTOLOGIA LTDA,RIDERE ODONTOLOGIA,09.687.573/0001-00,8630504,Atividade odontológica,"SETOR SMH/NORTE QUADRA 02 BLOCO A, 10, SALA  409, ASA NORTE, CEP 70710904, Brasilia/DF",ASA NORTE,Brasilia/DF,(61) 21948446,(61) 96055543,ridereodontologia409@gmail.com,2008-06-24,218,1,ME - Microempresa (ate R$360 mil/ano),Sem registro,60000.00,1,1,1,Sociedade Empresaria Limitada,clinica,nao,nao,1,14,cnae_principal,,,,porte 5 + capital_social 12 + n_unidades 4 + regime_tributario 9 + maturidade 14 = 44 | NOTA 44/100
1098,44,CENTRO DE REABILITACAO ORAL DO SUDOESTE LTDA,CROL SUDOESTE,02.176.652/0001-07,8630504,Atividade odontológica,"SHC AOS AE 2/8 LOTE 5 TORRE A SALA, 134, TERRACO SHOPPING, OCTOGONAL, CEP 70660020, Brasilia/DF",OCTOGONAL,Brasilia/DF,(61) 2342221,,,1997-10-20,346,1,ME - Microempresa (ate R$360 mil/ano),Sem registro,59000.00,1,1,1,Sociedade Empresaria Limitada,clinica,nao,nao,1,1,cnae_principal,,,,porte 5 + capital_social 12 + n_unidades 4 + regime_tributario 9 + maturidade 14 = 44 | NOTA 44/100
1099,44,COUTO E BRAGA CENTRO ODONTOLOGICO LTDA,CLINICA DENTARIA NOVA,13.294.071/0001-96,8630504,Atividade odontológica,"QUADRA QNC 8, S/N, LOTE  30                  SALA  105, TAGUATINGA NORTE (TAGUATINGA), CEP 72115580, Brasilia/DF",TAGUATINGA NORTE (TAGUATINGA),Brasilia/DF,(61) 30225445,,,2011-02-21,186,1,ME - Microempresa (ate R$360 mil/ano),Sem registro,50000.00,1,1,1,Sociedade Empresaria Limitada,clinica,nao,nao,1,8,cnae_principal,,,,porte 5 + capital_social 12 + n_unidades 4 + regime_tributario 9 + maturidade 14 = 44 | NOTA 44/100
1100,44,HENRIQUE TINE TENORIO & CIA SS LTDA,HOSPITAL DO DENTE,07.725.305/0001-00,8630504,Atividade odontológica,"RUA COPAIBA, LOTE, 01,       TORRE A             SALA  301 A 304, NORTE (AGUAS CLARAS), CEP 71919540, Brasilia/DF",NORTE (AGUAS CLARAS),Brasilia/DF,(61) 35360444,,hospitaldodente@hotmail.com,2005-11-08,249,1,ME - Microempresa (ate R$360 mil/ano),Sem registro,50000.00,1,1,1,Sociedade Simples Limitada,clinica,nao,nao,1,889,cnae_principal,,,,porte 5 + capital_social 12 + n_unidades 4 + regime_tributario 9 + maturidade 14 = 44 | NOTA 44/100
1101,44,JGP CLINICA ODONTOLOGICA E SAUDE INTEGRADA LTDA,JGP CLINICA ODONTOLOGICA E SAUDE INTEGRADA,08.687.093/0001-86,8630504,Atividade odontológica,"SETOR SETOR CENTRAL AE LESTE LT 24, S/N, BLOCO B                   SALA  309 E 311           EDIF  ORION OFFICE MALL, GAMA, CEP 72405135, Brasilia/DF",GAMA,Brasilia/DF,(61) 86234430,,jgpclinica@gmail.com,2007-02-28,234,1,ME - Microempresa (ate R$360 mil/ano),Sem registro,50000.00,1,1,1,Sociedade Empresaria Limitada,clinica,nao,nao,1,43,cnae_principal,,,,porte 5 + capital_social 12 + n_unidades 4 + regime_tributario 9 + maturidade 14 = 44 | NOTA 44/100
1102,44,NEOVITA ODONTOLOGIA LTDA,NEOVITA ODONTOLOGIA,12.887.407/0001-61,8630504,Atividade odontológica,"QUADRA AC QUADRA 205, LOTE 01, SALAS 604 E 605, 06 PAVIMENTO, S/N, AGUAS CLARAS, CEP 71925000, Brasilia/DF",AGUAS CLARAS,Brasilia/DF,(61) 35364004,,,2010-11-17,189,1,ME - Microempresa (ate R$360 mil/ano),Sem registro,50000.00,1,1,1,Sociedade Empresaria Limitada,clinica,nao,nao,1,47,cnae_principal,,,,porte 5 + capital_social 12 + n_unidades 4 + regime_tributario 9 + maturidade 14 = 44 | NOTA 44/100
1103,44,ASSOCIACAO NACIONAL DOS SERVIDORES DA CARREIRA DE PLANEJAMENTO E ORCAMENTO,,03.657.095/0002-90,8630504,Atividade odontológica,"SEPN QUADRA 516 CONJ C PARTE SALA, 42, TERREO, ASA NORTE, CEP 70770523, Brasilia/DF",ASA NORTE,Brasilia/DF,,,,2005-01-18,259,5,"DEMAIS - Acima do teto do Simples (>R$4,8 mi/ano)",Sem registro,0.00,2,1,1,Associacao Privada,clinica,nao,nao,1,1,cnae_principal,,,,porte 28 + capital_social 0 + n_unidades 9 + regime_tributario 9 + maturidade 14 = 60 | penalidades: sem_contato -12 sem_nome_fantasia -4 | NOTA 44/100
1104,44,ASSOCIACAO HOPNE HOMECARE E ODONTOLOGIA,ASSOCIACAO HOPNE HOMECARE E ODONTOLOGIA,58.676.756/0001-35,8630504,Atividade odontológica,"QUADRA SRES QUADRA 1 BLOCO B CASA, 27, CRUZEIRO VELHO, CEP 70640020, Brasilia/DF",CRUZEIRO VELHO,Brasilia/DF,(61) 99138310,,pedrofelixpn2005@gmail.com,2024-10-30,22,5,"DEMAIS - Acima do teto do Simples (>R$4,8 mi/ano)",Sem registro,0.00,1,1,1,Associacao Privada,clinica,nao,nao,1,2,cnae_principal,,,,porte 28 + capital_social 0 + n_unidades 4 + regime_tributario 9 + maturidade 3 = 44 | NOTA 44/100
1105,43,ACMS CLINICA RIA ODONTOLOGIA LTDA,RIA ODONTOLOGIA,44.304.573/0001-84,8630504,Atividade odontológica,"QUADRA 2 CONJUNTO G, 22, FAZENDINHA (ITAPOA), CEP 71596241, Brasilia/DF",FAZENDINHA (ITAPOA),Brasilia/DF,(61) 92311515,,antoniomoreiraudf@gmail.com,2021-11-19,57,1,ME - Microempresa (ate R$360 mil/ano),Sim,700000.00,1,1,1,Sociedade Empresaria Limitada,clinica,nao,nao,1,2,cnae_principal,,,,porte 5 + capital_social 22 + n_unidades 4 + regime_tributario 6 + maturidade 6 = 43 | NOTA 43/100
1106,43,C.E ODONTOLOGIA ESTETICA E SAUDE LTDA,ELLEVA ODONTOLOGIA E ESTETICA AVANCADA,35.302.663/0001-45,8630504,Atividade odontológica,"AVENIDA DAS ARAUCARIAS LOTES 1835 1905 1955 E, 2005, SALA  554, SUL (AGUAS CLARAS), CEP 71936250, Brasilia/DF",SUL (AGUAS CLARAS),Brasilia/DF,(61) 84585823,,elleva.clinicaelleva@gmail.com,2019-10-24,82,1,ME - Microempresa (ate R$360 mil/ano),Sim,474500.00,1,1,1,Sociedade Empresaria Limitada,clinica,nao,nao,1,190,cnae_principal,,,,porte 5 + capital_social 19 + n_unidades 4 + regime_tributario 6 + maturidade 9 = 43 | NOTA 43/100
1107,43,FA IMPLANTE E ODONTOLOGIA LTDA,FA- IMPLANTE E ODONTOLOGIA,39.564.393/0001-00,8630504,Atividade odontológica,"AREA ESPECIAL AREA ESPECIAL, 20/21, EDIF  ALTERNATIVO CENTER  SALA  118, SETOR CENTRA, CEP 72405922, Brasilia/DF",SETOR CENTRA,Brasilia/DF,(61) 30219394,,santoscontabil499@hotmail.com,2020-10-26,70,1,ME - Microempresa (ate R$360 mil/ano),Sim,300000.00,1,1,1,Sociedade Empresaria Limitada,clinica,nao,nao,1,5,cnae_principal,,,,porte 5 + capital_social 19 + n_unidades 4 + regime_tributario 6 + maturidade 9 = 43 | NOTA 43/100
1108,43,RAISSA FORNAZIER - ODONTOLOGIA ESPECIALIZADA LTDA,RAISSA FORNAZIER - ODONTOLOGIA ESPECIALIZADA,39.654.336/0001-03,8630504,Atividade odontológica,"QUADRA CSB 02 LOTE, 1/4, SALA  107 TORRE A, TAGUATINGA SUL, CEP 72015901, Brasilia/DF",TAGUATINGA SUL,Brasilia/DF,(61) 91184120,(61) 35737796,raissa.fornazier@gmail.com,2020-11-03,69,1,ME - Microempresa (ate R$360 mil/ano),Sim,300000.00,1,1,1,Sociedade Empresaria Limitada,clinica,nao,nao,1,19,cnae_principal,,,,porte 5 + capital_social 19 + n_unidades 4 + regime_tributario 6 + maturidade 9 = 43 | NOTA 43/100
1109,43,HR ODONTOLOGIA LTDA,SORRIR BRASIL ODONTOLOGIA,31.384.293/0001-81,8630504,Atividade odontológica,"QUADRA QN 318 CONJUNTO 3 LOTE, 1/2, SAMAMBAIA SUL (SAMAMBAIA), CEP 72308703, Brasilia/DF",SAMAMBAIA SUL (SAMAMBAIA),Brasilia/DF,(61) 33587070,(61) 84421993,sbsamambaia@gmail.com,2018-08-30,96,1,ME - Microempresa (ate R$360 mil/ano),Sim,250000.00,1,1,1,Sociedade Empresaria Limitada,clinica,nao,nao,1,1,cnae_principal,,,,porte 5 + capital_social 19 + n_unidades 4 + regime_tributario 6 + maturidade 9 = 43 | NOTA 43/100
1110,43,LUEUR CLINIQUE LTDA,LUEUR CLINIQUE,40.277.165/0001-20,8630504,Atividade odontológica,"QUADRA SCN QUADRA 01, BLOCO G, SALAS 112 E 113, S/N, EDIF  ESPLANADA BUSINESS, ASA NORTE, CEP 70711070, Brasilia/DF",ASA NORTE,Brasilia/DF,(61) 91882055,,adm@lueurclinique.com,2021-01-06,67,1,ME - Microempresa (ate R$360 mil/ano),Sim,250000.00,1,1,1,Sociedade Empresaria Limitada,clinica,nao,nao,1,29,cnae_principal,,,,porte 5 + capital_social 19 + n_unidades 4 + regime_tributario 6 + maturidade 9 = 43 | NOTA 43/100
1111,43,MERAKI ODONTOLOGIA LTDA,MERAKI ODOTONLOGIA,43.288.713/0001-05,8630504,Atividade odontológica,"RUA COPAIBA LOTE, 01,       TORRE A SALA 2107, NORTE (AGUAS CLARAS), CEP 71919540, Brasilia/DF",NORTE (AGUAS CLARAS),Brasilia/DF,(61) 99175318,(61) 30397156,rfcontabil10@gmail.com,2021-08-26,60,1,ME - Microempresa (ate R$360 mil/ano),Sim,250000.00,1,1,1,Sociedade Empresaria Limitada,clinica,nao,nao,1,889,cnae_principal,,,,porte 5 + capital_social 19 + n_unidades 4 + regime_tributario 6 + maturidade 9 = 43 | NOTA 43/100
1112,43,PORTO DUTRA ODONTOLOGIA LTDA,PRIORIZE ODONTOLOGIA,41.014.270/0001-39,8630504,Atividade odontológica,"QUADRA QNM 1 CONJ H LOTE 22, S/N, CEILANDIA SUL (CEILANDIA), CEP 72215018, Brasilia/DF",CEILANDIA SUL (CEILANDIA),Brasilia/DF,(61) 93712000,,priorizeceilandia@gmail.com,2021-02-26,66,1,ME - Microempresa (ate R$360 mil/ano),Sim,250000.00,1,1,1,Sociedade Empresaria Limitada,clinica,nao,nao,1,20,cnae_principal,,,,porte 5 + capital_social 19 + n_unidades 4 + regime_tributario 6 + maturidade 9 = 43 | NOTA 43/100
1113,43,R R SOUSA PRESTADORA DE SERVICOS ODONTOLOGICOS LTDA,RR- ODONTOLOGIA REABILITADORA,41.179.264/0001-31,8630504,Atividade odontológica,"SETOR CENTRAL RES LADO LESTE AREA ESPECIAL, 24/25, BLOCO A                   APT   803, SETOR CENTRAL (GAMA), CEP 72405135, Brasilia/DF",SETOR CENTRAL (GAMA),Brasilia/DF,(61) 33723074,,santoscontabil499@hotmail.com,2021-03-11,65,1,ME - Microempresa (ate R$360 mil/ano),Sim,250000.00,1,1,1,Sociedade Empresaria Limitada,clinica,nao,nao,1,55,cnae_principal,,,,porte 5 + capital_social 19 + n_unidades 4 + regime_tributario 6 + maturidade 9 = 43 | NOTA 43/100
1114,43,BRUNETTI & ROSSI ODONTOLOGIA E SAUDE LTDA,BRUNETTI & ROSSI ODONTOLOGIA E SAUDE,40.581.731/0001-92,8630504,Atividade odontológica,"QUADRA SHIS QI 11 BLOCO K LOJA, 06,       AREA ESPECIAL       EDIF  ONZE, SETOR DE HABITACOES INDIVIDUAIS SUL, CEP 71625590, Brasilia/DF",SETOR DE HABITACOES INDIVIDUAIS SUL,Brasilia/DF,(61) 39634120,,drjonasbrunetti@gmail.com,2021-01-27,67,1,ME - Microempresa (ate R$360 mil/ano),Sim,200000.00,1,1,1,Sociedade Empresaria Limitada,clinica,nao,nao,1,2,cnae_principal,,,,porte 5 + capital_social 19 + n_unidades 4 + regime_tributario 6 + maturidade 9 = 43 | NOTA 43/100
1115,43,CDB CENTRO ORTODONTIA DE BRASILIA LTDA,CDB CENTRO ORTODONTIA DE BRASILIA,45.431.868/0001-84,8630504,Atividade odontológica,"QUADRA SDN CNB SL 5078 CONJUNTO A, SN,       SHOPPING CONJUNTO NA, ASA NORTE, CEP 70077900, Brasilia/DF",ASA NORTE,Brasilia/DF,(61) 91672455,,ailtonresende@gmail.com,2022-02-24,54,1,ME - Microempresa (ate R$360 mil/ano),Sem registro,200000.00,1,1,1,Sociedade Empresaria Limitada,clinica,nao,nao,1,251,cnae_principal,,,,porte 5 + capital_social 19 + n_unidades 4 + regime_tributario 9 + maturidade 6 = 43 | NOTA 43/100
1116,43,GUTIERREZ & FREITAS ODONTOLOGIA LTDA,BELLA ODONTOLOGIA E ORTODONTIA AVANCADA,31.408.986/0001-67,8630504,Atividade odontológica,"SETOR SETOR M QNM 5 CJ B LT 47, S/N, SALA  103 - 104 - 105, CEILANDIA, CEP 72215052, Brasilia/DF",CEILANDIA,Brasilia/DF,(61) 30323402,,bellaodontologia@gmail.com,2018-09-03,95,1,ME - Microempresa (ate R$360 mil/ano),Sim,200000.00,1,1,1,Sociedade Empresaria Limitada,clinica,nao,nao,1,6,cnae_principal,,,,porte 5 + capital_social 19 + n_unidades 4 + regime_tributario 6 + maturidade 9 = 43 | NOTA 43/100
1117,43,INSTITUTO MR CIRURGIA E TRAUMATOLOGIA BUCOMAXILOFACIAL LTDA,INSTITUTO MR CIRURGIA E TRAUMATOLOGIA BUCOMAXILOFACIAL,41.815.869/0001-71,8630504,Atividade odontológica,"SETOR SHLS CENTRO CLINICO SUL, S/N, QUADRA716                 CONJ  L                   BLOCO 2                   SALA  222, ASA SUL, CEP 70390700, Brasilia/DF",ASA SUL,Brasilia/DF,(88) 99247057,,somacontabilidade2022@gmail.com,2021-05-04,63,1,ME - Microempresa (ate R$360 mil/ano),Sim,200000.00,1,1,1,Sociedade Empresaria Limitada,clinica,nao,nao,1,119,cnae_principal,,,,porte 5 + capital_social 19 + n_unidades 4 + regime_tributario 6 + maturidade 9 = 43 | NOTA 43/100
1118,43,LUNA ODONTOLOGIA ESPECIALIZADA LTDA,LUNA ODONTOLOGIA ESPECIALIZADA,29.590.827/0001-84,8630504,Atividade odontológica,"RUA 5 NORTE LOTE, 03, SALA  413, NORTE (AGUAS CLARAS), CEP 71907720, Brasilia/DF",NORTE (AGUAS CLARAS),Brasilia/DF,(61) 33530153,,lunaodontodf@gmail.com,2018-02-01,102,1,ME - Microempresa (ate R$360 mil/ano),Sim,200000.00,1,1,1,Sociedade Empresaria Limitada,clinica,nao,nao,1,56,cnae_principal,,,,porte 5 + capital_social 19 + n_unidades 4 + regime_tributario 6 + maturidade 9 = 43 | NOTA 43/100
1119,43,ODONTOMAGIC SERVICOS ODONTOLOGICOS LTDA,ODONTOMAGIC,42.656.154/0001-86,8630504,Atividade odontológica,"SETOR SHLS QUADRA 716 CONJUNTO L SALA, 420, SALA  422, ASA SUL, CEP 70390700, Brasilia/DF",ASA SUL,Brasilia/DF,(61) 84088408,,contato@parametrocontabilidade.com.br,2021-07-09,61,1,ME - Microempresa (ate R$360 mil/ano),Sim,200000.00,1,1,1,Sociedade Empresaria Limitada,clinica,nao,nao,1,1,cnae_principal,,,,porte 5 + capital_social 19 + n_unidades 4 + regime_tributario 6 + maturidade 9 = 43 | NOTA 43/100
1120,43,ATELIE ORAL ME LTDA,ATELIE ORAL,23.395.455/0001-59,8630504,Atividade odontológica,"QUADRA SGAS 614, SN, CONJ  C                   SALA  162 E 164, ASA SUL, CEP 70200740, Brasilia/DF",ASA SUL,Brasilia/DF,(61) 32428603,,ribeirodealmeidalarissa912@gmail.com,2015-09-02,131,1,ME - Microempresa (ate R$360 mil/ano),Sim,150000.00,1,1,1,Sociedade Empresaria Limitada,clinica,nao,nao,1,74,cnae_principal,,,,porte 5 + capital_social 16 + n_unidades 4 + regime_tributario 6 + maturidade 12 = 43 | NOTA 43/100
1121,43,W H CORDEIRO FILHO ODONTOLOGIA,REVITTA CLINICA ODONTOLOGICA,14.814.367/0001-53,8630504,Atividade odontológica,"QUADRA QN 8C CONJUNTO 03 CASA 27, S/N, LOJA  01, RIACHO FUNDO II, CEP 71880130, Brasilia/DF",RIACHO FUNDO II,Brasilia/DF,(61) 33921283,,,2011-12-29,176,1,ME - Microempresa (ate R$360 mil/ano),Sim,150000.00,1,1,1,Empresario (Individual),clinica,nao,nao,1,4,cnae_principal,,,,porte 5 + capital_social 16 + n_unidades 4 + regime_tributario 6 + maturidade 12 = 43 | NOTA 43/100
1122,43,LUMIERE ODONTOLOGIA ESPECIALIZADA LTDA,,49.769.528/0001-19,8630504,Atividade odontológica,"QUADRA QN 310 CONJUNTO 1 LOTE, 1, SALA  103 104 107 108, SAMAMBAIA SUL (SAMAMBAIA), CEP 72306701, Brasilia/DF",SAMAMBAIA SUL (SAMAMBAIA),Brasilia/DF,(61) 98132757,,lumiereodonto.adm@gmail.com,2023-03-01,41,1,ME - Microempresa (ate R$360 mil/ano),Nao,140000.00,1,1,1,Sociedade Empresaria Limitada,clinica,nao,nao,1,2,cnae_principal,,,,porte 5 + capital_social 16 + n_unidades 4 + regime_tributario 16 + maturidade 6 = 47 | penalidades: sem_nome_fantasia -4 | NOTA 43/100
1123,43,MELHOR IMPLANTES ODONTOLOGIA LTDA,MELHOR IMPLANTES,34.386.782/0001-60,8630504,Atividade odontológica,"SETOR SMAS TRECHO 03 CONJUNTO 03 BLOCO C SALA, 08, ZONA INDUSTRIAL (GUARA), CEP 71215300, Brasilia/DF",ZONA INDUSTRIAL (GUARA),Brasilia/DF,(61) 81955161,,melhorimplantes@gmail.com,2019-07-31,85,1,ME - Microempresa (ate R$360 mil/ano),Sem registro,130000.00,1,1,1,Sociedade Empresaria Limitada,clinica,nao,nao,1,4,cnae_principal,,,,porte 5 + capital_social 16 + n_unidades 4 + regime_tributario 9 + maturidade 9 = 43 | NOTA 43/100
1124,43,A.C DE ALMEIDA CLINICA ODONTOLOGICA ESPECIALIZADA LTDA,A.C DE ALMEIDA - IPIB ODONTOLOGIA,18.695.614/0001-09,8630504,Atividade odontológica,"QUADRA SCN QUADRA 05 BLOCO A, 50, SALA  1320, 1321, ASA NORTE, CEP 70715900, Brasilia/DF",ASA NORTE,Brasilia/DF,(61) 35488268,(61) 35468268,ipibodontologia@gmail.com,2013-08-12,156,1,ME - Microempresa (ate R$360 mil/ano),Sim,120000.00,1,1,1,Sociedade Empresaria Limitada,clinica,nao,nao,1,166,cnae_principal,,,,porte 5 + capital_social 16 + n_unidades 4 + regime_tributario 6 + maturidade 12 = 43 | NOTA 43/100
1125,43,ATR ODONTO LTDA,ATR ODONTOLOGIA,32.890.652/0001-35,8630504,Atividade odontológica,"AVENIDA PAU BRASIL, S/N, LOTE  10                  SALA  520, SUL (AGUAS CLARAS), CEP 71926000, Brasilia/DF",SUL (AGUAS CLARAS),Brasilia/DF,(61) 83757555,,thiagooliveirateixeira@gmail.com,2019-02-26,90,1,ME - Microempresa (ate R$360 mil/ano),Sem registro,120000.00,1,1,1,Sociedade Empresaria Limitada,clinica,nao,nao,1,120,cnae_principal,,,,porte 5 + capital_social 16 + n_unidades 4 + regime_tributario 9 + maturidade 9 = 43 | NOTA 43/100
1126,43,CENTRO CLINICO ODONTOLOGICO DRA. CAROLINE FONTENELE LTDA,DRA. CAROLINE FONTENELE,16.789.038/0001-25,8630504,Atividade odontológica,"QUADRA QI 31, EDIFICIO FLORIDA CENTER, BLOCOA, SALA  210, GUARA II, CEP 71065310, Brasilia/DF",GUARA II,Brasilia/DF,(61) 94282828,,dracarolinafontenele@hotmail.com,2012-08-27,168,1,ME - Microempresa (ate R$360 mil/ano),Sim,120000.00,1,1,1,Sociedade Empresaria Limitada,clinica,nao,nao,1,1,cnae_principal,,,,porte 5 + capital_social 16 + n_unidades 4 + regime_tributario 6 + maturidade 12 = 43 | NOTA 43/100
1127,43,CENTRO ODONTOLOGICO HOSPITALAR HOME LTDA,ODONTO HOME HOSPITALAR,38.297.490/0001-02,8630504,Atividade odontológica,"QUADRA SGAS 613 CONJUNTO C, SN,       PRIMEIRO SUBSOLO    BLOCO C                         PARTE               SALA  01, ASA SUL, CEP 70200730, Brasilia/DF",ASA SUL,Brasilia/DF,(61) 38782736,,odontohome2021@gmail.com,2020-09-01,71,1,ME - Microempresa (ate R$360 mil/ano),Sem registro,104500.00,1,1,1,Sociedade Empresaria Limitada,clinica,nao,nao,1,28,cnae_principal,,,,porte 5 + capital_social 16 + n_unidades 4 + regime_tributario 9 + maturidade 9 = 43 | NOTA 43/100
1128,43,CENTRO ODONTOLOGICO NOVO SORRISO LTDA,CLINICA NOVO SORRISO,36.209.410/0001-94,8630504,Atividade odontológica,"QUADRA QI 27, SN, BLOCO A                   SALA  107, GUARA II, CEP 71060270, Brasilia/DF",GUARA II,Brasilia/DF,(61) 33811464,,ingridferreira@yahoo.com.br,2020-01-31,79,1,ME - Microempresa (ate R$360 mil/ano),Sem registro,104500.00,1,1,1,Sociedade Empresaria Limitada,clinica,nao,nao,1,11,cnae_principal,,,,porte 5 + capital_social 16 + n_unidades 4 + regime_tributario 9 + maturidade 9 = 43 | NOTA 43/100
1129,43,INSTITUTO ODONTOLOGICO PREVDENT LTDA,SALUTI ODONTOLOGIA,37.980.267/0001-00,8630504,Atividade odontológica,"SETOR SGAS QUADRA 910 CONJUNTO B BLOCO E SALA, 47, ASA SUL, CEP 70390100, Brasilia/DF",ASA SUL,Brasilia/DF,(61) 92693700,,financeirodrgotardo@gmail.com,2020-08-05,72,1,ME - Microempresa (ate R$360 mil/ano),Sem registro,104500.00,1,1,1,Sociedade Empresaria Limitada,clinica,nao,nao,1,1,cnae_principal,,,,porte 5 + capital_social 16 + n_unidades 4 + regime_tributario 9 + maturidade 9 = 43 | NOTA 43/100
1130,43,A.G. ODONTOLOGIA AVANCADA LTDA,A.G. ODONTOLOGIA AVANCADA,24.831.107/0001-40,8630504,Atividade odontológica,"SETOR SHLS QUADRA, 716, CONJ  L                   BLOCO 01                  SALA  114, ASA SUL, CEP 70390700, Brasilia/DF",ASA SUL,Brasilia/DF,(61) 81925762,,amanda2291@hotmail.com,2016-05-18,123,1,ME - Microempresa (ate R$360 mil/ano),Sim,100000.00,1,1,1,Sociedade Empresaria Limitada,clinica,nao,nao,1,37,cnae_principal,,,,porte 5 + capital_social 16 + n_unidades 4 + regime_tributario 6 + maturidade 12 = 43 | NOTA 43/100
1131,43,CASTRO & TELES ODONTOLOGIA LTDA,ESPECIALLI IMPLANTES & ORTODONTIA,18.643.225/0001-21,8630504,Atividade odontológica,"AVENIDA INDEPENDENCIA QUADRA 34 LOTE, 11, LOJA  B                   SLJ   SALA 1 E 2, SETOR TRADICIONAL (PLANALTINA), CEP 73330002, Brasilia/DF",SETOR TRADICIONAL (PLANALTINA),Brasilia/DF,(61) 82133700,,especiallifinanceiro@gmail.com,2013-08-07,156,1,ME - Microempresa (ate R$360 mil/ano),Sim,100000.00,1,1,1,Sociedade Empresaria Limitada,clinica,nao,nao,1,3,cnae_principal,,,,porte 5 + capital_social 16 + n_unidades 4 + regime_tributario 6 + maturidade 12 = 43 | NOTA 43/100
1132,43,CLINICA BORGES ODONTOLOGIA E ESTETICA LTDA,CLINICA BORGES ODONTOLOGIA E ESTETICA,40.007.229/0001-72,8630504,Atividade odontológica,"AVENIDA GOIAS (QUADRAS 49,50,51 E 52), LOTE, 2 B, QUADRA51, SETOR TRADICIONAL (PLANALTINA), CEP 73330077, Brasilia/DF",SETOR TRADICIONAL (PLANALTINA),Brasilia/DF,(61) 33890121,,,2020-12-03,68,1,ME - Microempresa (ate R$360 mil/ano),Sem registro,100000.00,1,1,1,Sociedade Empresaria Limitada,clinica,nao,nao,1,1,cnae_principal,,,,porte 5 + capital_social 16 + n_unidades 4 + regime_tributario 9 + maturidade 9 = 43 | NOTA 43/100
1133,43,COEX SERVICOS DENTARIOS LTDA,COEX CLINICA ODONTOLOGICA ESPECIALIZADA,17.079.240/0001-26,8630504,Atividade odontológica,"QUADRA 05 LOTE 23 SALA, 101, SETOR NORTE (BRAZLANDIA), CEP 72705050, Brasilia/DF",SETOR NORTE (BRAZLANDIA),Brasilia/DF,(61) 34794183,,clinicacoex@gmail.com,2012-08-31,168,1,ME - Microempresa (ate R$360 mil/ano),Sim,100000.00,1,1,1,Sociedade Empresaria Limitada,clinica,nao,nao,1,1,cnae_principal,,,,porte 5 + capital_social 16 + n_unidades 4 + regime_tributario 6 + maturidade 12 = 43 | NOTA 43/100
